id,generation,status,bottom_band,diagonal_band,seat_band,front_seat_band,lower_tunnel_collar_mm,upper_tunnel_collar_mm,volume_ratio,movement_indicator_mm,raw_2d_peak_MPa,inner_seat_ratio,score
23f9a4e917d5,0,PASS_REDUCED_CONTACT,1.45,1.8,5.0,2.0,3.5,2.5,0.9941807125242303,4.416765988503179,17.806267806267805,1.0101054427570928,1.3638192913283012
9cb28e5dabb4,0,PASS_REDUCED_CONTACT,1.75,1.8,5.0,2.0,3.5,2.5,1.0068318654696402,4.289565957329995,13.231957024806489,0.9956213393731875,1.0697182102615086
14648bf1e012,0,PASS_REDUCED_CONTACT,1.6,1.65,5.0,2.0,3.5,2.5,0.998679633148421,4.350726550227481,36.97866974158532,1.000033621503312,7.534021278803243
4edca4daafbb,0,PASS_REDUCED_CONTACT,1.6,1.95,5.0,2.0,3.5,2.5,1.0058798487264,4.282101826158491,13.205016249649194,0.9999115492943113,1.0655659289678665
9be1dd4d87d3,0,PASS_REDUCED_CONTACT,1.6,1.8,4.5,2.0,3.5,2.5,0.9925506017515893,4.370953091956111,13.229688294071181,1.058971758444799,1.102710585663582
fb9da6a1164c,0,PASS_REDUCED_CONTACT,1.6,1.8,5.5,2.0,3.5,2.5,1.0077130578094675,4.296677591272092,13.232286157616576,1.0239443340676482,1.0748729359721134
450c7e091060,0,PASS_REDUCED_CONTACT,1.6,1.8,5.0,1.8,3.5,2.5,0.99787709217335,4.337153482273353,13.230929302508855,1.0001892754053527,1.083131516780494
a2ad21cf41c6,0,PASS_REDUCED_CONTACT,1.6,1.8,5.0,2.2,3.5,2.5,1.0023076081860185,4.333741457479045,13.230929709194477,0.9998408286383393,1.0858451285161963
c9955bfec35d,0,PASS_REDUCED_CONTACT,1.6,1.8,5.0,2.0,3.15,2.5,0.9932961758870412,4.343978280943283,13.234245825514039,1.0000002204708187,1.082037094845502
c4b4b60dbb9b,0,PASS_REDUCED_CONTACT,1.6,1.8,5.0,2.0,3.85,2.5,1.0064719131445923,4.327983572782399,60.638897420039996,0.9999997871343638,26.76460534675692
8be40f3eacba,0,PASS_REDUCED_CONTACT,1.6,1.8,5.0,2.0,3.5,2.25,0.9985009482080944,4.335487558080757,21.327260642263347,0.9999999852850333,1.8318182390799063
25f95fb04b08,0,PASS_REDUCED_CONTACT,1.6,1.8,5.0,2.0,3.5,2.75,1.0016590596874504,4.335465442747405,13.230858902769029,1.0000000061099357,1.0860618571457348
abc0da86d63e,0,PASS_REDUCED_CONTACT,1.6,1.8,5.0,2.15,3.5,2.5,1.0018564432804988,4.334147403569102,82.26535164326197,0.999871474453197,55.53343786011434
a839caa5ccbd,0,PASS_REDUCED_CONTACT,1.45,1.8,5.0,2.15,3.5,2.5,0.9960371558047288,4.415435213098603,13.226659661975662,1.0099777317576102,1.1256760782784938
684d4c9a80c5,0,PASS_REDUCED_CONTACT,1.6,1.8,5.35,1.85,3.5,2.3,1.002981518634583,4.311500009957793,130.2743870524268,1.026945602007784,157.587736482532
7cb8cefb60a8,0,PASS_REDUCED_CONTACT,1.5,1.8,5.0,2.0,3.5,2.5,0.9970726871923429,4.376507862567136,54.59479821792015,1.003949166541824,20.65093830895234
e15f55bd8a9c,0,PASS_REDUCED_CONTACT,1.6,1.7,5.3,2.2,3.5,2.5,1.0064564168455052,4.3216885938873295,13.237818304763383,1.0312861107401134,1.0860272640199153
0a3f02b2eb7a,0,PASS_REDUCED_CONTACT,1.6,1.95,5.0,2.0,3.5,2.7,1.0071498948238882,4.2820936145005115,49.9188779447091,0.9999115366395412,16.444700350867457
47761a0c065a,0,PASS_REDUCED_CONTACT,1.5,1.7,5.0,2.2,3.5,2.5,0.9984688287109301,4.384564103491837,98.45628973857868,1.0038102987046886,84.09200084637845
e38d82223292,0,PASS_REDUCED_CONTACT,1.5,1.95,5.0,2.0,3.5,2.5,1.002952535918743,4.322872303044465,113.91584744459774,1.0038615105342856,116.89971464941608
744f4808ac5d,0,PASS_REDUCED_CONTACT,1.6,1.8,5.45,1.8,3.5,2.5,1.004988586123168,4.30181042895717,13.232181354575587,1.0314308898256195,1.075281556963691
d0a5436a9e7a,0,PASS_REDUCED_CONTACT,1.6,1.8,4.55,2.2,3.5,2.7,0.9968263317138977,4.365819516893573,30.319448710019998,1.0845909801862144,4.4477520122718675
cffb53853bbc,0,PASS_REDUCED_CONTACT,1.6,1.8,5.25,2.0,3.85,2.5,1.0106137859301987,4.310612158811272,21.159742604516783,1.0793697262786943,1.8138062620229491
235e66040a3d,0,PASS_REDUCED_CONTACT,1.6,1.8,5.0,2.0,3.2,2.5,0.9942744169689686,4.34253386814559,13.229058527535836,1.000000134617924,1.0822715050890899
80ea4562a1f8,0,PASS_REDUCED_CONTACT,1.75,1.8,5.0,2.0,3.7,2.7,1.0117792313789453,4.285249509925548,13.240029137958338,0.9956212564417415,1.072805639543161
ba427016f16c,1,PASS_REDUCED_CONTACT,1.75,2.1,5.0,2.2,3.5,2.5,1.016694614743497,4.221379559628063,144.50850804948516,0.9953416317642029,197.94650194957407
3bf3d1e34695,1,PASS_REDUCED_CONTACT,1.6,1.9,5.45,1.8,3.5,2.5,1.0094842323725557,4.25827318368866,13.211146449601618,1.0313670993549224,1.0614808002759462
d123927baa3b,1,PASS_REDUCED_CONTACT,1.6,1.8,5.5,2.15,3.5,2.5,1.0095695010899663,4.295349809911635,13.232286379242378,1.0239777537837835,1.076143020133499
c26322fdce26,1,PASS_REDUCED_CONTACT,1.75,1.8,5.0,2.0,3.9,2.9,1.0168519878397078,4.281064316627252,73.95733948317064,0.995621078586862,43.20736362244847
864e54450c4d,1,PASS_REDUCED_CONTACT,1.5,1.8,4.7,2.0,3.15,2.5,0.985842084964873,4.407616027614901,56.08714024518267,1.053848649357834,22.099700426714232
3487699533bc,1,PASS_REDUCED_CONTACT,1.75,1.8,5.0,2.0,3.5,2.7,1.0081019115671286,4.289558381078272,124.54831891226718,0.995621369994155,142.64231053311642
241fed47e8fc,1,PASS_REDUCED_CONTACT,1.6,1.8,5.45,1.8,3.5,2.3,1.0038119531637069,4.301818940194686,65.48607840748251,1.0314308832939805,32.27072213896329
0c3bac68efa9,1,PASS_REDUCED_CONTACT,1.75,1.95,5.25,2.2,3.5,2.5,1.0191471258796894,4.217616824678557,13.206274723732495,1.0739994261898616,1.0656167678199302
